Тип субјекта,Матични број,Пословно име,Статус,Детаљније
Друштво са ограниченом одговорношћу,17371126,"FAMILY TOURIST, PREDUZEĆE ZA PRUŽANJE USLUGA, TURIZAM I RENT-A-CAR DOO, BEOGRAD (GRAD)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20000813,"REFIT INŽENJERING DOO DRUŠTVO ZA PROIZVODNJU, TRGOVINU I USLUGE BEOGRAD (ČUKARICA)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20002328,"SPETEMA Društvo za trgovinu, proizvodnju i usluge, DOO, BEOGRAD, RADNIČKA 11 U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,7464240,"PRIVREDNO DRUŠTVO ZA USLUGE, KONSALTING I MENADŽMENT POSLOVE BEOCONEX DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD (ZVEZDARA)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7463502,DRUŠTVO ZA SPOLJNOTRGOVINSKI PROMET  GLOBAL TECHNOLOGY ASSISTANCE DOO BEOGRAD (VRAČAR),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,6744265,ELTEC EXPORT-IMPORT PREDUZEĆE ZA PROIZVODNJU UNUTRAŠNJI I SPOLJNOTRGOVINSKI PROMET DOO BEOGRAD (ČUKARICA),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17492608,PREDUZEĆE ZA PROMET ROBA I USLUGA KOLMARK DOO BEOGRAD (ZVEZDARA) - U LIKVIDACIJI,Привредно друштво у процесу ликвидације,детаљније
Друштво са ограниченом одговорношћу,17136976,MEDIATEK DOO BEOGRAD (STARI GRAD),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7753691,"HIDROTEHNIKA-GMK PREDUZEĆE ZA PROIZVODNJU, TRGOVINU I USLUGE, D.O.O. BEOGRAD",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17565257,PREDUZEĆE ZA TRGOVINU I USLUGE  FEROTEHNA TRADE DOO BEOGRAD (ČUKARICA) - U STEČAJU,Привредно друштво обрисано из регистра,детаљније
Ортачко друштво,17331051,"PREDUZEĆE ZA TRGOVINU I USLUGE LJILJANA I MOMČILO TRAŽIVUK OD BEOGRAD, SVETOSAVSKA 77",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,17239325,PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE  AMEDITERAN2010 DOO BEOGRAD (NOVI BEOGRAD),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17536842,PREDUZEĆE ZA TRGOVINU I USLUGE TRIEDAR DOO BEOGRAD (PALILULA),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17516833,"PRIVREDNO DRUŠTVO ZA PROIZVODNJU, GRAĐEVINARSTVO, UNUTRAŠNJU I SPOLJNU TRGОVINU INOSYSTEM DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD-SURČIN, SURČINSKI PUT 143 Ž",Привредно друштво обрисано из регистра,детаљније
